HOLEID,FROM,TO,DOMAIN,ROCKTYPE,WEATH
MAR022,211,212,I2,GnD,MX
MAR022,212,213,I2,GnD,MX
MAR022,213,214,I2,GnD,MX
MAR022,214,215,I2,GnD,MX
MAR022,215,216,I2,GnD,MX
MAR022,216,217,I2,GnD,MX
MAR022,217,218,I2,GnD,MX
MAR022,218,219,I2,GnD,MX
MAR022,219,220,I2,GnD,MX
MAR022,220,221,I2,GnD,MX
MAR022,221,222,I2,GnD,MX
MAR022,222,223,I2,GnD,MX
MAR022,223,224,I2,GnD,MX
MAR022,224,225,I2,GnD,MX
MAR022,225,226,I2,GnD,MX
MAR022,226,227,I2,GnD,MX
MAR022,227,228,I2,GnD,MX
MAR022,228,229,I2,GnD,MX
MAR022,229,230,I2,GnD,MX
MAR022,230,231,I2,GnD,MX
MAR022,231,232,I2,GnD,MX
MAR022,232,233,I2,GnD,MX
MAR022,233,234,I2,GnD,MX
MAR022,234,235,I2,GnD,MX
MAR022,235,236,I2,GnD,MX
MAR022,236,237,I2,GnD,MX
MAR022,237,238,I2,GnD,MX
MAR022,238,239,I2,GnD,MX
MAR022,239,240,I2,GnD,MX
MAR022,240,241,I2,GnD,MX
MAR022,241,242,I2,GnD,MX
MAR022,242,243,I2,GnD,MX
MAR022,243,244,I2,GnD,MX
MAR022,244,245,I2,GnD,MX
MAR022,245,246,I2,GnD,MX
MAR022,246,247,I2,GnD,MX
MAR022,247,248,I2,GnD,MX
MAR022,248,249,I2,GnD,MX
MAR022,249,250,I2,GnD,MX
MAR022,250,251,I2,GnD,MX
MAR022,251,252,I2,GnD,MX
MAR022,252,253,I2,GnD,MX
MAR022,253,254,I2,GnD,MX
MAR022,254,255,I2,GnD,MX
MAR022,255,256,I2,GnD,MX
MAR022,256,257,I2,GnD,MX
MAR022,257,258,I2,GnD,MX
MAR022,258,259,I2,GnD,MX
MAR022,259,260,I2,GnD,MX
MAR022,260,261,I2,GnD,MX
MAR022,261,262,I2,GnD,MX
MAR022,262,263,I2,GnD,MX
MAR022,263,264,I2,GnD,MX
MAR022,264,265,I2,GnD,MX
MAR022,265,266,I2,GnD,MX
MAR022,266,267,I2,GnD,MX
MAR022,267,268,I2,GnD,MX
MAR022,268,269,I2,GnD,MX
MAR022,269,270,I2,GnD,MX
MAR022,270,271,I2,GnD,MX
MAR022,271,272,I2,GnD,MX
MAR022,272,273,I2,GnD,MX
MAR022,273,274,I2,GnD,MX
MAR022,274,275,I2,GnD,MX
MAR022,275,276,I2,GnD,MX
MAR022,276,277,I2,GnD,MX
MAR022,277,278,I2,GnD,MX
MAR022,278,279,I2,GnD,MX
MAR022,279,280,I2,GnD,MX
MAR022,280,281,I2,GnD,MX
MAR022,281,282,I2,GnD,MX
MAR022,282,283,I2,GnD,MX
MAR022,283,284,I2,GnD,MX
MAR022,284,285,I2,GnD,MX
MAR022,285,286,I2,GnD,MX
MAR022,286,287,I2,GnD,MX
MAR022,287,288,I2,GnD,MX
MAR022,288,289,I2,GnD,MX
MAR022,289,290,I2,GnD,MX
MAR022,290,291,I2,GnD,MX
MAR022,291,292,I2,GnD,MX
MAR022,292,293,I2,GnD,MX
MAR022,293,294,I2,GnD,MX
MAR022,294,295,I2,GnD,MX
MAR022,295,296,I2,GnD,MX
MAR022,296,297,I2,GnD,MX
MAR022,297,298,I2,GnD,MX
MAR022,298,299,I2,GnD,MX
MAR022,299,300,I2,GnD,MX
MAR022,300,301,I2,GnD,MX
MAR022,301,302,I2,GnD,MX
MAR022,302,303,I2,GnD,MX
MAR022,303,304,I2,GnD,MX
MAR022,304,305,I2,GnD,MX
MAR022,305,306,I2,GnD,MX
MAR022,306,307,I2,GnD,MX
MAR022,307,308,I2,GnD,MX
MAR022,308,309,I2,GnD,MX
MAR022,309,310,I2,GnD,PM
MAR022,310,311,I2,GnD,PM
MAR022,311,312,I2,GnD,PM
MAR022,312,313,I2,GnD,PM
MAR022,313,314,I2,GnD,PM
MAR022,314,315,I2,GnD,PM
MAR022,315,316,I2,GnD,PM
MAR022,316,317,I2,GnD,PM
MAR022,317,318,I2,GnD,PM
MAR022,318,319,I2,GnD,PM
MAR022,319,320,I2,GnD,PM
MAR022,320,321,I2,GnD,PM
MAR022,321,322,I2,GnD,PM
MAR022,322,323,I2,GnD,PM
MAR022,323,324,I2,GnD,PM
MAR022,324,325,I2,GnD,PM
MAR022,325,326,I2,GnD,PM
MAR022,326,327,I2,GnD,PM
MAR022,327,328,I2,GnD,PM
MAR022,328,329,I2,GnD,PM
MAR022,329,330,I2,GnD,PM
MAR022,330,331,I2,GnD,PM
MAR022,331,332,I2,GnD,PM
MAR022,332,333,I2,GnD,PM
MAR022,333,334,I2,GnD,PM
MAR022,334,335,I2,GnD,PM
MAR022,335,336,I2,GnD,PM
MAR022,336,337,I2,GnD,PM
MAR022,337,338,I2,GnD,PM
MAR022,338,339,I2,GnD,PM
MAR022,339,340,I2,GnD,PM
MAR022,340,341,I2,GnD,PM
MAR022,341,342,I2,GnD,PM
MAR022,342,343,I2,GnD,PM
MAR022,343,344,I2,GnD,PM
MAR022,344,345,I2,GnD,PM
MAR022,345,346,I2,GnD,PM
MAR022,346,347,I2,GnD,PM
MAR022,347,348,I2,GnD,PM
MAR022,348,349,I2,GnD,PM
MAR022,349,350,I2,GnD,PM
MAR022,350,351,I2,GnD,PM
MAR022,351,352,I2,GnD,PM
MAR022,352,353,I2,GnD,PM
MAR022,353,354,I2,GnD,PM
MAR022,354,355,I2,GnD,PM
MAR022,355,356,I2,GnD,PM
MAR022,356,357,I2,GnD,PM
MAR022,357,358,I2,GnD,PM
MAR022,358,359,I2,GnD,PM
MAR022,359,360,I2,GnD,PM
MAR022,360,361,I2,GnD,PM
MAR022,361,362,I2,GnD,PM
MAR022,362,363,I2,GnD,PM
MAR022,363,364,I2,GnD,PM
MAR022,364,365,I1,QzP,PM
MAR022,365,366,I1,QzP,PM
MAR022,366,367,I1,QzP,PM
MAR022,367,368,I1,QzP,PM
MAR022,368,369,I1,QzP,PM
MAR022,369,370,I1,QzP,PM
MAR022,370,371,I1,QzP,PM
MAR022,371,372,I1,QzP,PM
MAR022,372,373,I1,QzP,PM
MAR022,373,374,I1,QzP,PM
MAR022,374,375,I1,QzP,PM
MAR022,375,376,I1,QzP,PM
MAR022,376,377,I1,QzP,PM
MAR022,377,378,I1,QzP,PM
MAR022,378,379,I1,QzP,PM
MAR022,379,380,I1,QzP,PM
MAR022,380,381,I1,QzP,PM
MAR022,381,382,I1,QzP,PM
MAR022,382,383,I1,QzP,PM
MAR022,383,384,I1,QzP,PM
MAR022,384,385,I1,QzP,PM
MAR022,385,386,I1,QzP,PM
MAR022,386,387,I1,QzP,PM
MAR022,387,388,I1,QzP,PM
MAR022,388,389,I1,QzP,PM
MAR022,389,390,I1,QzP,PM
MAR022,390,391,I1,QzP,PM
MAR022,391,392,I1,QzP,PM
MAR022,392,393,I1,QzP,PM
MAR022,393,394,I1,QzP,PM
MAR022,394,395,I1,QzP,PM
MAR022,395,396,I1,QzP,PM
MAR022,396,397,I1,QzP,PM
MAR022,397,398,I1,QzP,PM
MAR022,398,399,I1,QzP,PM
MAR022,399,400,I1,QzP,PM
MAR022,400,401,I1,QzP,PM
MAR022,401,402,I1,QzP,PM
MAR022,402,403,I1,QzP,PM
MAR022,403,404,I1,QzP,PM
MAR022,404,405,I1,QzP,PM
MAR022,405,406,I1,QzP,PM
MAR022,406,407,I1,QzP,PM
MAR022,407,408,I1,QzP,PM
MAR022,408,409,I1,QzP,PM
MAR022,409,410,I1,QzP,PM
MAR022,410,411,I1,QzP,PM
MAR022,411,412,I1,QzP,PM
MAR022,412,413,I1,QzP,PM
MAR022,413,414,I1,QzP,PM
MAR022,414,415,I1,QzP,PM
MAR022,415,416,I1,QzP,PM
MAR022,416,417,I1,QzP,PM
MAR022,417,418,I1,QzP,PM
MAR022,418,419,I1,QzP,PM
MAR022,419,420,I1,QzP,PM
MAR022,420,421,I1,QzP,PM
MAR022,421,422,I1,QzP,PM
MAR022,422,423,I1,QzP,PM
MAR022,423,424,I1,QzP,PM
MAR022,424,425,I1,QzP,PM
MAR022,425,426,I1,QzP,PM
MAR022,426,427,I1,QzP,PM
MAR022,427,428,I1,QzP,PM
MAR022,428,429,I1,QzP,PM
MAR022,429,430,I1,QzP,PM
MAR022,430,431,I1,QzP,PM
MAR022,431,432,I1,QzP,PM
MAR022,432,433,I1,QzP,PM
MAR022,433,434,I1,QzP,PM
MAR022,434,435,I1,QzP,PM
MAR022,435,436,I1,QzP,PM
MAR022,436,437,I1,QzP,PM
MAR022,437,438,I1,QzP,PM
MAR022,438,439,I1,QzP,PM
MAR022,439,440,I1,QzP,PM
MAR022,440,441,I1,QzP,PM
MAR022,441,442,I1,QzP,PM
MAR022,442,443,I1,QzP,PM
MAR022,443,444,I1,QzP,PM
MAR022,444,445,D4,AvT,PM
MAR022,445,446,D4,AvT,PM
MAR022,446,447,D4,AvT,PM
MAR022,447,448,D4,AvT,PM
MAR022,448,449,D4,AvT,PM
MAR022,449,450,D4,AvT,PM
MAR022,450,451,D4,AvT,PM
MAR022,451,452,D4,AvT,PM
MAR022,452,453,D4,AvT,PM
MAR022,453,454,D4,AvT,PM
MAR022,454,455,D4,AvT,PM
MAR022,455,456,D4,AvT,PM
MAR022,456,457,D4,AvT,PM
MAR022,457,458,D4,AvT,PM
MAR022,458,459,D4,AvT,PM
MAR022,459,460,D4,AvT,PM
MAR022,460,461,D4,AvT,PM
MAR022,461,462,D4,AvT,PM
MAR022,462,463,D4,AvT,PM
MAR022,463,464,D4,AvT,PM
MAR022,464,465,D4,AvT,PM
MAR022,465,466,D4,AvT,PM
MAR022,466,467,D4,AvT,PM
MAR022,467,468,D4,AvT,PM
MAR022,468,469,D4,AvT,PM
MAR022,469,470,D4,AvT,PM
MAR022,470,471,D4,AvT,PM
MAR023,0,1,D1,AvT,OX
MAR023,1,2,D1,AvT,OX
MAR023,2,3,D1,AvT,OX
MAR023,3,4,D1,AvT,OX
MAR023,4,5,D1,AvT,OX
MAR023,5,6,D1,AvT,OX
MAR023,6,7,D1,AvT,OX
MAR023,7,8,D1,AvT,OX
MAR023,8,9,D1,AvT,OX
MAR023,9,10,D2,AvT,OX
MAR023,10,11,D2,AvT,OX
MAR023,11,12,D2,AvT,OX
MAR023,12,13,D2,AvT,OX
MAR023,13,14,D2,AvT,OX
MAR023,14,15,D2,AvT,OX
MAR023,15,16,D2,AvT,OX
MAR023,16,17,D2,AvT,OX
MAR023,17,18,D2,AvT,OX
MAR023,18,19,D2,AvT,OX
MAR023,19,20,D2,AvT,OX
MAR023,20,21,D2,AvT,OX
MAR023,21,22,D2,AvT,OX
MAR023,22,23,D2,AvT,OX
MAR023,23,24,D2,AvT,OX
MAR023,24,25,D2,AvT,OX
MAR023,25,26,D2,AvT,OX
MAR023,26,27,D2,AvT,OX
MAR023,27,28,D2,AvT,OX
MAR023,28,29,D2,AvT,OX
MAR023,29,30,D2,AvT,OX
MAR023,30,31,D2,AvT,OX
MAR023,31,32,D2,AvT,OX
MAR023,32,33,D2,AvT,OX
MAR023,33,34,D2,AvT,OX
MAR023,34,35,D2,AvT,OX
MAR023,35,36,D2,AvT,MX
MAR023,36,37,D2,AvT,MX
MAR023,37,38,D2,AvT,MX
MAR023,38,39,D2,AvT,MX
MAR023,39,40,D2,AvT,MX
MAR023,40,41,D2,AvT,MX
MAR023,41,42,D2,AvT,MX
MAR023,42,43,D2,AvT,MX
MAR023,43,44,D2,AvT,MX
MAR023,44,45,D2,AvT,MX
MAR023,45,46,D2,AvT,MX
MAR023,46,47,D2,AvT,MX
MAR023,47,48,D2,AvT,MX
MAR023,48,49,D2,AvT,MX
MAR023,49,50,D2,AvT,MX
MAR023,50,51,D2,AvT,MX
MAR023,51,52,D2,AvT,MX
MAR023,52,53,D2,AvT,MX
MAR023,53,54,D2,AvT,MX
MAR023,54,55,D2,AvT,MX
MAR023,55,56,D2,AvT,MX
MAR023,56,57,D2,AvT,MX
MAR023,57,58,D2,AvT,MX
MAR023,58,59,D2,AvT,MX
MAR023,59,60,D2,AvT,MX
MAR023,60,61,D2,AvT,MX
MAR023,61,62,D2,AvT,MX
MAR023,62,63,D2,AvT,MX
MAR023,63,64,D2,AvT,MX
MAR023,64,65,D2,AvT,MX
MAR023,65,66,D2,AvT,MX
MAR023,66,67,D2,AvT,MX
MAR023,67,68,D2,AvT,MX
MAR023,68,69,D2,AvT,MX
MAR023,69,70,D2,AvT,MX
MAR023,70,71,D2,AvT,MX
MAR023,71,72,D2,AvT,MX
MAR023,72,73,D2,AvT,MX
MAR023,73,74,D2,AvT,MX
MAR023,74,75,D2,AvT,MX
MAR023,75,76,D2,AvT,MX
MAR023,76,77,D2,AvT,MX
MAR023,77,78,D2,AvT,MX
MAR023,78,79,D2,AvT,MX
MAR023,79,80,D2,AvT,MX
MAR023,80,81,D2,AvT,MX
MAR023,81,82,D2,AvT,MX
MAR023,82,83,D2,AvT,MX
MAR023,83,84,D2,AvT,MX
MAR023,84,85,D2,AvT,MX
MAR023,85,86,D2,AvT,MX
MAR023,86,87,D2,AvT,MX
MAR023,87,88,D2,AvT,MX
MAR023,88,89,D2,AvT,MX
MAR023,89,90,D2,AvT,MX
MAR023,90,91,D2,AvT,MX
MAR023,91,92,D2,AvT,MX
MAR023,92,93,D2,AvT,MX
MAR023,93,94,D2,AvT,MX
MAR023,94,95,D2,AvT,MX
MAR023,95,96,D2,AvT,MX
MAR023,96,97,D2,AvT,MX
MAR023,97,98,D2,AvT,MX
MAR023,98,99,D2,AvT,MX
MAR023,99,100,D2,AvT,MX
MAR023,100,101,D2,AvT,MX
MAR023,101,102,D2,AvT,MX
MAR023,102,103,D2,AvT,MX
MAR023,103,104,D2,AvT,MX
MAR023,104,105,D2,AvT,MX
MAR023,105,106,D2,AvT,MX
MAR023,106,107,D2,AvT,MX
MAR023,107,108,D2,AvT,MX
MAR023,108,109,D2,AvT,MX
MAR023,109,110,D2,AvT,MX
MAR023,110,111,D2,AvT,MX
MAR023,111,112,D2,AvT,MX
MAR023,112,113,D2,AvT,MX
MAR023,113,114,D2,AvT,MX
MAR023,114,115,D2,AvT,MX
MAR023,115,116,D2,AvT,MX
MAR023,116,117,D2,AvT,MX
MAR023,117,118,D2,AvT,MX
MAR023,118,119,D2,AvT,MX
MAR023,119,120,D2,AvT,MX
MAR023,120,121,D2,AvT,MX
MAR023,121,122,D2,AvT,MX
MAR023,122,123,D2,AvT,MX
MAR023,123,124,D2,AvT,MX
MAR023,124,125,D2,AvT,MX
MAR023,125,126,D2,AvT,MX
MAR023,126,127,D2,AvT,MX
MAR023,127,128,D2,AvT,MX
MAR023,128,129,D2,AvT,MX
MAR023,129,130,D2,AvT,MX
MAR023,130,131,D2,AvT,MX
MAR023,131,132,D2,AvT,MX
MAR023,132,133,D2,AvT,MX
MAR023,133,134,D2,AvT,MX
MAR023,134,135,D2,AvT,MX
MAR023,135,136,D2,AvT,MX
MAR023,136,137,D2,AvT,MX
MAR023,137,138,D2,AvT,PM
MAR023,138,139,D2,AvT,PM
MAR023,139,140,D2,AvT,PM
MAR023,140,141,D2,AvT,PM
MAR023,141,142,D2,AvT,PM
MAR023,142,143,D2,AvT,PM
MAR023,143,144,D2,AvT,PM
MAR023,144,145,D2,AvT,PM
MAR023,145,146,D2,AvT,PM
MAR023,146,147,D2,AvT,PM
MAR023,147,148,D2,AvT,PM
MAR023,148,149,D2,AvT,PM
MAR023,149,150,D2,AvT,PM
MAR023,150,151,D2,AvT,PM
MAR023,151,152,D2,AvT,PM
MAR023,152,153,D2,AvT,PM
MAR023,153,154,D2,AvT,PM
MAR023,154,155,D2,AvT,PM
MAR023,155,156,D2,AvT,PM
MAR023,156,157,D2,AvT,PM
MAR023,157,158,D2,AvT,PM
MAR023,158,159,D2,AvT,PM
MAR023,159,160,D3,AvT,PM
MAR023,160,161,D3,AvT,PM
MAR023,161,162,D3,AvT,PM
MAR023,162,163,D3,AvT,PM
MAR023,163,164,D3,AvT,PM
MAR023,164,165,D3,AvT,PM
MAR023,165,166,D3,AvT,PM
MAR023,166,167,D3,AvT,PM
MAR023,167,168,D3,AvT,PM
MAR023,168,169,D3,AvT,PM
MAR023,169,170,D3,AvT,PM
MAR023,170,171,D3,AvT,PM
MAR023,171,172,D3,AvT,PM
MAR023,172,173,D3,AvT,PM
MAR023,173,174,D3,AvT,PM
MAR023,174,175,D3,AvT,PM
MAR023,175,176,D3,AvT,PM
MAR023,176,177,D3,AvT,PM
MAR023,177,178,D3,AvT,PM
MAR023,178,179,D3,AvT,PM
MAR023,179,180,D3,AvT,PM
MAR023,180,181,D3,AvT,PM
MAR023,181,182,D3,AvT,PM
MAR023,182,183,D3,AvT,PM
MAR023,183,184,D3,AvT,PM
MAR023,184,185,D3,AvT,PM
MAR023,185,186,D3,AvT,PM
MAR023,186,187,D3,AvT,PM
MAR023,187,188,D3,AvT,PM
MAR023,188,189,I1,QzP,PM
MAR023,189,190,I1,QzP,MX
MAR023,190,191,I1,QzP,MX
MAR023,191,192,I1,QzP,MX
MAR023,192,193,I1,QzP,MX
MAR023,193,194,I1,QzP,MX
MAR023,194,195,I1,QzP,MX
MAR023,195,196,I1,QzP,MX
MAR023,196,197,I1,QzP,MX
MAR023,197,198,I1,QzP,MX
MAR023,198,199,I1,QzP,MX
MAR023,199,200,I1,QzP,MX
MAR023,200,201,I1,QzP,MX
MAR023,201,202,I1,QzP,MX
MAR023,202,203,I1,QzP,MX
MAR023,203,204,I1,QzP,MX
MAR023,204,205,I1,QzP,MX
MAR023,205,206,I1,QzP,MX
MAR023,206,207,I1,QzP,MX
MAR023,207,208,I1,QzP,MX
MAR023,208,209,I1,QzP,MX
MAR023,209,210,I1,QzP,MX
MAR023,210,211,I1,QzP,MX
MAR023,211,212,I1,QzP,MX
MAR023,212,213,I1,QzP,MX
MAR023,213,214,I1,QzP,MX
MAR023,214,215,I1,QzP,MX
MAR023,215,216,I1,QzP,MX
MAR023,216,217,I1,QzP,MX
MAR023,217,218,I1,QzP,MX
MAR023,218,219,I1,QzP,MX
MAR023,219,220,I1,QzP,MX
MAR023,220,221,I1,QzP,MX
MAR023,221,222,I1,QzP,MX
MAR023,222,223,I1,QzP,MX
MAR023,223,224,I1,QzP,MX
MAR023,224,225,I1,QzP,MX
MAR023,225,226,I1,QzP,MX
MAR023,226,227,I1,QzP,MX
MAR023,227,228,I1,QzP,MX
MAR023,228,229,I1,QzP,MX
MAR023,229,230,I1,QzP,MX
MAR023,230,231,I1,QzP,MX
MAR023,231,232,I1,QzP,MX
MAR023,232,233,I1,QzP,MX
MAR023,233,234,I1,QzP,MX
MAR023,234,235,I1,QzP,MX
MAR023,235,236,I1,QzP,MX
MAR023,236,237,I1,QzP,MX
MAR023,237,238,I1,QzP,MX
MAR023,238,239,I1,QzP,MX
MAR023,239,240,I1,QzP,MX
MAR023,240,241,I1,QzP,MX
MAR023,241,242,I1,QzP,MX
MAR023,242,243,I1,QzP,MX
MAR023,243,244,I1,QzP,MX
MAR023,244,245,I1,QzP,MX
MAR023,245,246,I1,QzP,MX
MAR023,246,247,I1,QzP,MX
MAR023,247,248,I1,QzP,MX
MAR023,248,249,I1,QzP,MX
MAR023,249,250,I1,QzP,MX
MAR023,250,251,I1,QzP,MX
MAR023,251,252,I1,QzP,MX
MAR023,252,253,I1,QzP,MX
MAR023,253,254,I1,QzP,MX
MAR023,254,255,I1,QzP,MX
MAR023,255,256,I1,QzP,MX
MAR023,256,257,I1,QzP,MX
MAR023,257,258,I1,QzP,MX
MAR023,258,259,I1,QzP,MX
MAR023,259,260,I1,QzP,MX
MAR023,260,261,I1,QzP,MX
MAR023,261,262,I1,QzP,MX
MAR023,262,263,I1,QzP,MX
MAR023,263,264,I1,QzP,MX
MAR023,264,265,I1,QzP,MX
MAR023,265,266,I1,QzP,MX
MAR023,266,267,I1,QzP,MX
MAR023,267,268,I1,QzP,MX
MAR023,268,269,I1,QzP,MX
MAR023,269,270,I1,QzP,MX
MAR023,270,271,I1,QzP,MX
MAR023,271,272,I1,QzP,MX
MAR023,272,273,I1,QzP,MX
MAR023,273,274,I1,QzP,MX
MAR023,274,275,I1,QzP,MX
MAR023,275,276,I1,QzP,MX
MAR023,276,277,I1,QzP,MX
MAR023,277,278,I1,QzP,MX
MAR023,278,279,I1,QzP,MX
MAR023,279,280,I1,QzP,MX
MAR023,280,281,I1,QzP,MX
MAR023,281,282,I1,QzP,MX
MAR023,282,283,I1,QzP,MX
MAR023,283,284,I1,QzP,MX
MAR023,284,285,I1,QzP,MX
MAR023,285,286,I1,QzP,MX
MAR023,286,287,I1,QzP,MX
MAR023,287,288,I1,QzP,MX
MAR023,288,289,D3,AvT,MX
MAR023,289,290,D3,AvT,MX
MAR023,290,291,D3,AvT,MX
MAR023,291,292,D3,AvT,MX
MAR023,292,293,D3,AvT,MX
MAR023,293,294,D3,AvT,MX
MAR023,294,295,D3,AvT,MX
MAR023,295,296,D3,AvT,MX
MAR023,296,297,D3,AvT,MX
MAR023,297,298,D3,AvT,MX
MAR023,298,299,D3,AvT,MX
MAR023,299,300,D3,AvT,MX
MAR023,300,301,D3,AvT,MX
MAR023,301,302,D3,AvT,MX
MAR023,302,303,D3,AvT,MX
MAR023,303,304,D3,AvT,MX
MAR023,304,305,D3,AvT,MX
MAR023,305,306,D3,AvT,MX
MAR023,306,307,D3,AvT,PM
MAR023,307,308,D3,AvT,PM
MAR023,308,309,D3,AvT,PM
MAR023,309,310,D3,AvT,PM
MAR023,310,311,D3,AvT,PM
MAR023,311,312,D3,AvT,PM
MAR023,312,313,D3,AvT,PM
MAR023,313,314,D3,AvT,PM
MAR023,314,315,D3,AvT,PM
MAR023,315,316,D3,AvT,PM
MAR023,316,317,D3,AvT,PM
MAR023,317,318,D3,AvT,PM
MAR023,318,319,D3,AvT,PM
MAR023,319,320,D3,AvT,PM
MAR023,320,321,D3,AvT,PM
MAR023,321,322,D3,AvT,PM
MAR023,322,323,D3,AvT,PM
MAR023,323,324,D3,AvT,PM
MAR023,324,325,D3,AvT,PM
MAR023,325,326,D3,AvT,PM
MAR023,326,327,D3,AvT,PM
MAR023,327,328,D3,AvT,PM
MAR023,328,329,D3,AvT,PM
MAR023,329,330,D3,AvT,PM
MAR023,330,331,D3,AvT,PM
MAR023,331,332,D3,AvT,PM
MAR023,332,333,D3,AvT,PM
MAR023,333,334,D3,AvT,PM
MAR023,334,335,D3,AvT,PM
MAR023,335,336,D3,AvT,PM
MAR023,336,337,D3,AvT,PM
MAR023,337,338,D3,AvT,PM
MAR023,338,339,D3,AvT,PM
MAR023,339,340,D3,AvT,PM
MAR023,340,341,D3,AvT,PM
MAR023,341,342,D3,AvT,PM
MAR023,342,343,D3,AvT,PM
MAR023,343,344,D3,AvT,PM
MAR023,344,345,D3,AvT,PM
MAR023,345,346,D3,AvT,PM
MAR023,346,347,D3,AvT,PM
MAR023,347,348,D3,AvT,PM
MAR023,348,349,D3,AvT,PM
MAR023,349,350,D3,AvT,PM
MAR023,350,351,D3,AvT,PM
MAR023,351,352,D3,AvT,PM
MAR023,352,353,D3,AvT,PM
MAR023,353,354,D3,AvT,PM
MAR023,354,355,D3,AvT,PM
MAR023,355,356,D3,AvT,PM
MAR023,356,357,D3,AvT,PM
MAR023,357,358,D3,AvT,PM
MAR023,358,359,D3,AvT,PM
MAR023,359,360,D3,AvT,PM
MAR023,360,361,D3,AvT,PM
MAR023,361,362,D3,AvT,PM
MAR023,362,363,D3,AvT,PM
MAR023,363,364,D3,AvT,PM
MAR023,364,365,D3,AvT,PM
MAR023,365,366,D3,AvT,PM
MAR023,366,367,D3,AvT,PM
MAR023,367,368,D3,AvT,PM
MAR023,368,369,D3,AvT,PM
MAR023,369,370,D3,AvT,PM
MAR023,370,371,D3,AvT,PM
MAR023,371,372,D3,AvT,PM
MAR023,372,373,D3,AvT,PM
MAR023,373,374,D3,AvT,PM
MAR023,374,375,D3,AvT,PM
MAR023,375,376,D3,AvT,PM
MAR023,376,377,D3,AvT,PM
MAR023,377,378,D3,AvT,PM
MAR023,378,379,D3,AvT,PM
MAR023,379,380,D3,AvT,PM
MAR023,380,381,D3,AvT,PM
MAR023,381,382,D3,AvT,PM
MAR023,382,383,D3,AvT,PM
MAR023,383,384,D3,AvT,PM
MAR023,384,385,D3,AvT,PM
MAR023,385,386,D3,AvT,PM
MAR023,386,387,D3,AvT,PM
MAR023,387,388,D3,AvT,PM
MAR023,388,389,D3,AvT,PM
MAR023,389,390,D3,AvT,PM
MAR023,390,391,D3,AvT,PM
MAR024,0,1,D1,AvT,OX
MAR024,1,2,D1,AvT,OX
MAR024,2,3,D1,AvT,OX
MAR024,3,4,D1,AvT,OX
MAR024,4,5,D1,AvT,OX
MAR024,5,6,D1,AvT,OX
MAR024,6,7,D1,AvT,OX
MAR024,7,8,D1,AvT,OX
MAR024,8,9,D2,AvT,OX
MAR024,9,10,D2,AvT,OX
MAR024,10,11,D2,AvT,OX
MAR024,11,12,D2,AvT,OX
MAR024,12,13,D2,AvT,OX
MAR024,13,14,D2,AvT,OX
MAR024,14,15,D2,AvT,OX
MAR024,15,16,D2,AvT,OX
MAR024,16,17,D2,AvT,OX
MAR024,17,18,D2,AvT,OX
MAR024,18,19,D2,AvT,OX
MAR024,19,20,D2,AvT,OX
MAR024,20,21,D2,AvT,OX
MAR024,21,22,D2,AvT,OX
MAR024,22,23,D2,AvT,OX
MAR024,23,24,D2,AvT,OX
MAR024,24,25,D2,AvT,OX
MAR024,25,26,D2,AvT,OX
MAR024,26,27,D2,AvT,OX
MAR024,27,28,D2,AvT,OX
MAR024,28,29,D2,AvT,OX
MAR024,29,30,D2,AvT,MX
MAR024,30,31,D2,AvT,MX
MAR024,31,32,D2,AvT,MX
MAR024,32,33,D2,AvT,MX
MAR024,33,34,D2,AvT,MX
MAR024,34,35,D2,AvT,MX
MAR024,35,36,D2,AvT,MX
MAR024,36,37,D2,AvT,MX
MAR024,37,38,D2,AvT,MX
MAR024,38,39,D2,AvT,MX
MAR024,39,40,D2,AvT,MX
MAR024,40,41,D2,AvT,MX
MAR024,41,42,D2,AvT,MX
MAR024,42,43,D2,AvT,MX
MAR024,43,44,D2,AvT,MX
MAR024,44,45,D2,AvT,MX
MAR024,45,46,D2,AvT,MX
MAR024,46,47,D2,AvT,MX
MAR024,47,48,D2,AvT,MX
MAR024,48,49,D2,AvT,MX
MAR024,49,50,D2,AvT,MX
MAR024,50,51,D2,AvT,MX
MAR024,51,52,D2,AvT,MX
MAR024,52,53,D2,AvT,MX
MAR024,53,54,D2,AvT,MX
MAR024,54,55,D2,AvT,MX
MAR024,55,56,D2,AvT,MX
MAR024,56,57,D2,AvT,MX
MAR024,57,58,D2,AvT,MX
MAR024,58,59,D2,AvT,MX
MAR024,59,60,D2,AvT,MX
MAR024,60,61,D2,AvT,MX
MAR024,61,62,D2,AvT,MX
MAR024,62,63,D2,AvT,MX
MAR024,63,64,D2,AvT,MX
MAR024,64,65,D2,AvT,MX
MAR024,65,66,D2,AvT,MX
MAR024,66,67,D2,AvT,MX
MAR024,67,68,D2,AvT,MX
MAR024,68,69,D2,AvT,MX
MAR024,69,70,D2,AvT,MX
MAR024,70,71,D2,AvT,MX
MAR024,71,72,D2,AvT,MX
MAR024,72,73,D2,AvT,MX
MAR024,73,74,D2,AvT,MX
MAR024,74,75,D2,AvT,MX
MAR024,75,76,D2,AvT,MX
MAR024,76,77,D2,AvT,MX
MAR024,77,78,D2,AvT,MX
MAR024,78,79,D2,AvT,MX
MAR024,79,80,D2,AvT,MX
MAR024,80,81,D2,AvT,MX
MAR024,81,82,D2,AvT,MX
MAR024,82,83,D2,AvT,MX
MAR024,83,84,D2,AvT,MX
